지역,역명,상권_유형
부산,교대,그룹 0
부산,"구남, 구명, 구포",그룹 0
부산,구서,그룹 0
부산,"국제금융센터·부산은행, 문현, 범내골, 범일, 지게골",그룹 1
부산,금곡,그룹 0
부산,금련산,그룹 2
부산,"금사, 서동",그룹 0
부산,기장,그룹 2
부산,"낙민, 동래, 명장, 수안, 안락, 충렬사",그룹 2
부산,남산,그룹 0
부산,남산정,그룹 2
부산,남천,그룹 0
부산,"남포, 자갈치, 중앙, 토성",그룹 1
부산,낫개,그룹 0
부산,노포,그룹 0
부산,다대포항,그룹 0
부산,다대포해수욕장,그룹 2
부산,"당리, 하단",그룹 0
부산,대사,그룹 3
부산,"대연, 못골",그룹 0
부산,"대저, 체육공원",그룹 2
부산,덕두,그룹 0
부산,"덕천, 숙등",그룹 0
부산,"덕포, 모덕",그룹 2
부산,"동대신, 서대신",그룹 0
부산,동매,그룹 2
부산,동백,그룹 0
부산,동원,그룹 0
부산,동의대,그룹 0
부산,두실,그룹 2
부산,등구,그룹 3
부산,만덕,그룹 0
부산,"망미, 민락, 수영",그룹 2
부산,명륜,그룹 0
부산,모라,그룹 2
부산,물만골,그룹 2
부산,미남,그룹 0
부산,반여농산물시장,그룹 0
부산,배산,그룹 2
부산,범어사,그룹 2
부산,"벡스코, 센텀시티",그룹 1
부산,"부산, 초량",그룹 1
부산,부산대,그룹 0
부산,부산원동,그룹 2
부산,부산진,그룹 2
부산,사직,그룹 0
부산,사하,그룹 2
부산,서부산유통지구,그룹 2
부산,석대,그룹 3
부산,센텀,그룹 0
부산,송정,그룹 3
부산,수정,그룹 2
부산,신장림,그룹 2
부산,신평,그룹 2
부산,신해운대,그룹 0
부산,안평,그룹 2
부산,양정,그룹 2
부산,"영산대, 좌천",그룹 2
부산,오시리아,그룹 0
부산,온천장,그룹 0
부산,월내,그룹 2
부산,율리,그룹 2
부산,일광,그룹 2
부산,장림,그룹 0
부산,장산,그룹 0
부산,장전,그룹 2
부산,재송,그룹 2
부산,주례,그룹 0
부산,중동,그룹 0
부산,평강,그룹 2
부산,해운대,그룹 0
부산,화명,그룹 0
서울,"4.19민주묘지, 북한산우이, 솔밭공원",그룹 0
서울,"가락시장, 개롱, 경찰병원, 방이, 오금",그룹 2
서울,"가산디지털단지, 남구로",그룹 1
서울,"가양, 증미",그룹 1
서울,가오리,그룹 2
서울,가좌,그룹 0
서울,"강남, 논현, 신논현, 신사",그룹 1
서울,"강남구청, 선정릉",그룹 0
서울,"강동, 길동",그룹 1
서울,강동구청,그룹 0
서울,"강변, 구의",그룹 1
서울,강일,그룹 0
서울,개봉,그룹 0
서울,"개포동, 구룡, 대모산입구, 대청, 대치, 도곡, 학여울, 한티",그룹 0
서울,개화,그룹 3
서울,"개화산, 방화",그룹 2
서울,거여,그룹 0
서울,건대입구,그룹 1
서울,"경복궁, 광화문, 금호, 동대문, 동대문역사문화공원, 동대입구, 동묘앞, 명동, 버티고개, 보문, 서울역, 시청, 신당, 안국, 약수, 을지로3가, 을지로4가, 을지로입구, 종각, 종로3가, 종로5가, 창신, 청구, 충무로, 회현",그룹 1
서울,고덕,그룹 0
서울,"고려대, 안암",그룹 0
서울,"고속터미널, 반포, 사평, 신반포, 잠원",그룹 1
서울,"공덕, 마포",그룹 1
서울,공릉,그룹 0
서울,"공항시장, 김포공항, 송정, 신방화",그룹 0
서울,관악산,그룹 0
서울,광나루,그룹 0
서울,광운대,그룹 0
서울,"광흥창, 대흥, 상수, 서강대, 신촌, 이대",그룹 1
서울,"교대, 서초",그룹 1
서울,구로,그룹 0
서울,구로디지털단지,그룹 1
서울,"구반포, 동작",그룹 3
서울,"구산, 불광, 역촌",그룹 0
서울,구일,그룹 0
서울,구파발,그룹 0
서울,국회의사당,그룹 1
서울,군자,그룹 0
서울,"굽은다리, 명일",그룹 0
서울,금천구청,그룹 0
서울,길음,그룹 0
서울,까치산,그룹 0
서울,낙성대,그룹 0
서울,남부터미널,그룹 1
서울,남성,그룹 2
서울,"남영, 삼각지, 숙대입구, 신용산, 용산",그룹 0
서울,남태령,그룹 0
서울,"내방, 방배",그룹 0
서울,노들,그룹 0
서울,노량진,그룹 0
서울,노원,그룹 1
서울,녹번,그룹 0
서울,"녹사평, 이태원",그룹 0
서울,녹천,그룹 0
서울,"답십리, 마장, 신답, 왕십리, 용답",그룹 0
서울,"당곡, 보라매, 보라매공원, 보라매병원, 서울대벤처타운, 서울지방병무청, 서원, 신대방삼거리, 신림",그룹 0
서울,당산,그룹 0
서울,대림,그룹 0
서울,"대방, 샛강, 여의도",그룹 1
서울,도림천,그룹 2
서울,도봉,그룹 2
서울,도봉산,그룹 0
서울,독립문,그룹 0
서울,독바위,그룹 2
서울,독산,그룹 0
서울,돌곶이,그룹 2
서울,둔촌동,그룹 0
서울,"둔촌오륜, 올림픽공원",그룹 0
서울,등촌,그룹 0
서울,"디지털미디어시티, 수색",그룹 0
서울,"뚝섬, 서울숲",그룹 1
서울,"마곡, 마곡나루",그룹 1
서울,마들,그룹 2
서울,마천,그룹 2
서울,"마포구청, 월드컵경기장",그룹 0
서울,"망우, 상봉",그룹 1
서울,망원,그룹 1
서울,매봉,그룹 0
서울,먹골,그룹 0
서울,면목,그룹 2
서울,"목동, 신정, 신정네거리",그룹 0
서울,"몽촌토성, 석촌, 송파, 송파나루, 한성백제",그룹 1
서울,무악재,그룹 2
서울,"문래, 영등포구청",그룹 1
서울,문정,그룹 1
서울,"미아, 삼양, 삼양사거리, 솔샘",그룹 2
서울,미아사거리,그룹 1
서울,발산,그룹 1
서울,방학,그룹 0
서울,복정,그룹 0
서울,"봉은사, 삼성, 삼성중앙, 청담",그룹 1
서울,봉천,그룹 0
서울,"봉화산, 화랑대",그룹 2
서울,북한산보국문,그룹 2
서울,불암산,그룹 2
서울,사가정,그룹 0
서울,사당,그룹 0
서울,"삼전, 잠실새내",그룹 1
서울,상계,그룹 2
서울,상도,그룹 0
서울,"상왕십리, 행당",그룹 0
서울,"상월곡, 월곡",그룹 0
서울,상일동,그룹 0
서울,새절,그룹 0
서울,"서대문, 아현, 애오개, 충정로",그룹 0
서울,서빙고,그룹 3
서울,서울대입구,그룹 1
서울,석계,그룹 0
서울,석촌고분,그룹 1
서울,선릉,그룹 1
서울,선유도,그룹 0
서울,성수,그룹 1
서울,성신여대입구,그룹 1
서울,수락산,그룹 2
서울,수서,그룹 0
서울,"수유, 화계",그룹 1
서울,숭실대입구,그룹 0
서울,신금호,그룹 0
서울,신길,그룹 0
서울,"신내, 양원",그룹 0
서울,신대방,그룹 2
서울,신도림,그룹 0
서울,"신목동, 염창",그룹 0
서울,신설동,그룹 0
서울,"신이문, 외대앞",그룹 0
서울,신풍,그룹 0
서울,쌍문,그룹 0
서울,아차산,그룹 0
서울,암사,그룹 0
서울,암사역사공원,그룹 2
서울,압구정,그룹 1
서울,압구정로데오,그룹 0
서울,양재,그룹 1
서울,양재시민의숲,그룹 2
서울,양천구청,그룹 2
서울,양천향교,그룹 0
서울,양평,그룹 0
서울,어린이대공원,그룹 0
서울,"언주, 역삼, 학동",그룹 0
서울,여의나루,그룹 0
서울,연신내,그룹 1
서울,영등포,그룹 1
서울,영등포시장,그룹 1
서울,오류동,그룹 0
서울,오목교,그룹 1
서울,옥수,그룹 0
서울,온수,그룹 0
서울,"용두, 제기동",그룹 0
서울,용마산,그룹 2
서울,우장산,그룹 0
서울,월계,그룹 0
서울,응봉,그룹 2
서울,응암,그룹 1
서울,이촌,그룹 0
서울,일원,그룹 0
서울,자양,그룹 0
서울,"잠실, 잠실나루",그룹 1
서울,장승배기,그룹 0
서울,장지,그룹 0
서울,장한평,그룹 2
서울,정릉,그룹 2
서울,종합운동장,그룹 0
서울,중계,그룹 2
서울,중곡,그룹 0
서울,중랑,그룹 0
서울,중앙보훈병원,그룹 0
서울,중화,그룹 2
서울,증산,그룹 2
서울,창동,그룹 0
서울,천왕,그룹 2
서울,천호,그룹 1
서울,청계산입구,그룹 0
서울,청량리,그룹 0
서울,총신대입구,그룹 1
서울,태릉입구,그룹 0
서울,하계,그룹 0
서울,한강진,그룹 0
서울,한남,그룹 0
서울,"한성대입구, 혜화",그룹 1
서울,한양대,그룹 0
서울,합정,그룹 1
서울,홍대입구,그룹 1
서울,홍제,그룹 0
서울,화곡,그룹 1
서울,회기,그룹 1
서울,효창공원앞,그룹 0
서울,흑석,그룹 0
울산,개운포,그룹 3
울산,남창,그룹 2
울산,덕하,그룹 2
울산,망양,그룹 3
울산,서생,그룹 3
울산,태화강,그룹 0
인천,가재울,그룹 2
인천,가정,그룹 1
인천,가정중앙시장,그룹 0
인천,"간석, 석바위시장",그룹 2
인천,"간석오거리, 동암",그룹 0
인천,갈산,그룹 0
인천,검단사거리,그룹 0
인천,검단오류,그룹 3
인천,검단호수공원,그룹 3
인천,검바위,그룹 2
인천,검암,그룹 0
인천,"경인교대입구, 계산",그룹 0
인천,계양,그룹 3
인천,공항화물청사,그룹 3
인천,"국제업무지구, 송도달빛축제공원",그룹 2
인천,굴포천,그룹 0
인천,귤현,그룹 0
인천,남동구청,그룹 2
인천,남동인더스파크,그룹 2
인천,도원,그룹 2
인천,도화,그룹 2
인천,독정,그룹 0
인천,동막,그룹 2
인천,"동수, 부평",그룹 1
인천,동인천,그룹 0
인천,동춘,그룹 0
인천,"마전, 완정",그룹 0
인천,만수,그룹 2
인천,모래내시장,그룹 0
인천,문학경기장,그룹 3
인천,박촌,그룹 2
인천,"백운, 부평삼거리",그룹 0
인천,부개,그룹 2
인천,부평구청,그룹 2
인천,부평시장,그룹 1
인천,산곡,그룹 1
인천,삼산체육관,그룹 2
인천,서구청,그룹 0
인천,"서부여성회관, 석남",그룹 2
인천,"석천사거리, 인천시청",그룹 0
인천,선학,그룹 2
인천,센트럴파크,그룹 0
인천,소래포구,그룹 2
인천,송도,그룹 2
인천,숭의,그룹 0
인천,"시민공원, 주안",그룹 1
인천,신검단중앙,그룹 2
인천,신연수,그룹 2
인천,신포,그룹 2
인천,아라,그룹 1
인천,아시아드경기장,그룹 0
인천,연수,그룹 0
인천,영종,그룹 3
인천,예술회관,그룹 1
인천,왕길,그룹 2
인천,운서,그룹 0
인천,운연,그룹 3
인천,원인재,그룹 3
인천,인천,그룹 2
인천,인천가좌,그룹 2
인천,인천공항1터미널,그룹 0
인천,인천공항2터미널,그룹 0
인천,인천논현,그룹 1
인천,인천대공원,그룹 2
인천,인천대입구,그룹 0
인천,인천터미널,그룹 0
인천,인하대,그룹 0
인천,임학,그룹 2
인천,작전,그룹 0
인천,제물포,그룹 0
인천,주안국가산단,그룹 3
인천,지식정보단지,그룹 2
인천,청라국제도시,그룹 3
인천,캠퍼스타운,그룹 0
인천,테크노파크,그룹 0
인천,호구포,그룹 2
충남,두정,그룹 0
충남,배방,그룹 0
충남,봉명,그룹 0
충남,성환,그룹 2
충남,신창,그룹 3
충남,쌍용,그룹 0
충남,아산,그룹 0
충남,온양온천,그룹 2
충남,직산,그룹 3
충남,천안,그룹 0
충남,탕정,그룹 0
