역명,지역,클러스터
인제대,경남,1
호포,경남,0
"박물관, 봉황, 수로왕릉",경남,-1
"김해시청, 부원",경남,4
"김해대학, 불암, 지내, 대사",경남,12
"가야대, 장신대",경남,19
"남양산, 부산대양산캠퍼스, 양산, 증산",경남,2
"경산, 각산, 감삼, 강창, 건들바위, 경대병원, 계명대, 고산, 공단, 교대, 구암, 남산, 내당, 다사, 달성공원, 담티, 대곡, 대구, 대구은행, 대구한의대병원, 대명, 대봉교, 대실, 동구청, 동대구, 동천, 동촌, 두류, 만촌, 만평, 매천, 매천시장, 명덕, 문양, 반고개, 반야월, 반월당, 방촌, 범물, 범어, 북구청, 사월, 상인, 서대구, 서문시장, 서부정류장, 설화명곡, 성서산업단지, 송현, 수성구민운동장, 수성구청, 수성못, 수성시장, 수성알파시티, 신기, 신매, 신천, 아양교, 안심, 안지랑, 어린이세상, 연호, 영남대, 영대병원, 용계, 용산, 용지, 원대, 월배, 월촌, 율하, 이곡, 임당, 정평, 죽전, 중앙로, 지산, 진천, 청라언덕, 칠곡경대병원, 칠곡운암, 칠성시장, 태전, 팔거, 팔달, 팔달시장, 학정, 해안, 현충로, 화원, 황금",경북,18
"구미, 북삼, 사곡, 왜관",경북,0
소태,광주,-1
녹동,광주,3
"공항, 광주송정, 도산, 송정공원, 평동",광주,19
"김대중컨벤션센터, 상무",광주,10
"농성, 쌍촌, 운천, 화정",광주,10
"남광주, 문화전당, 학동증심사입구",광주,4
"금남로4가, 금남로5가",광주,8
"돌고개, 양동시장",광주,3
"부호, 하양",대구,9
"갈마, 갑천, 구암, 노은, 대동, 대전, 반석, 서대전네거리, 시청, 신흥, 오룡, 용문, 월드컵경기장, 월평, 유성온천, 정부청사, 중구청, 중앙로, 지족, 탄방, 판암, 현충원",대전,21
"남산, 두실, 범어사",부산,20
만덕,부산,18
명륜,부산,10
동의대,부산,7
노포,부산,-1
"개금, 냉정, 주례",부산,11
"구서, 부산대, 온천장, 장전",부산,21
"벡스코, 센텀시티",부산,-1
"고촌, 윗반송",부산,-1
"영산대, 좌천",부산,2
"가야, 국제금융센터·부산은행, 문현, 범내골, 범일, 부암, 부전, 서면, 전포, 지게골",부산,-1
남산정,부산,3
"구남, 구명, 구포",부산,20
"감전, 괘법르네시떼, 사상",부산,13
"송정, 오시리아",부산,0
"공항, 덕두, 등구, 서부산유통지구",부산,-1
"부산, 부산진, 초량",부산,17
"괴정, 당리, 대티, 사하, 신평, 하단",부산,3
"금곡, 동원",부산,17
"율리, 화명",부산,2
"덕천, 숙등",부산,22
"남포, 자갈치, 중앙, 토성",부산,21
"낫개, 동매, 신장림, 장림",부산,-1
"다대포항, 다대포해수욕장",부산,6
"동백, 신해운대, 장산, 중동, 해운대",부산,-1
"강서구청, 대저, 체육공원, 평강",부산,0
"부산원동, 센텀, 재송",부산,5
"덕포, 모덕",부산,3
"동대신, 서대신",부산,20
명장,부산,-1
"망미, 민락, 수영",부산,4
물만골,부산,4
"낙민, 안락, 충렬사",부산,4
"동래, 수안",부산,19
"거제, 교대, 연산, 종합운동장",부산,14
"거제해맞이, 시청",부산,16
모라,부산,11
"미남, 사직",부산,21
"월내, 서생",부산,0
배산,부산,3
석대,부산,0
"금사, 반여농산물시장, 서동",부산,2
"경성대·부경대, 광안, 금련산, 남천, 대연, 못골",부산,19
양정,부산,11
안평,부산,-1
수정,부산,5
"기장, 일광",부산,1
"답십리, 마장, 신답, 왕십리, 용답, 한양대",서울,15
"상왕십리, 행당",서울,-1
"고려대, 안암",서울,-1
"신촌, 이대",서울,7
"광흥창, 서강대",서울,20
"문래, 양평, 영등포구청",서울,16
"신길, 영등포, 영등포시장",서울,20
"대방, 샛강, 여의도",서울,14
수서,서울,1
"당곡, 보라매, 보라매공원, 보라매병원, 서울지방병무청, 신대방삼거리, 신림",서울,8
"서울대벤처타운, 서원",서울,9
"경복궁, 광화문, 명동, 시청, 을지로입구, 종각, 회현",서울,1
"동대문, 동묘앞, 신당",서울,6
"을지로3가, 을지로4가, 종로3가, 종로5가, 충무로",서울,8
신대방,서울,6
신금호,서울,-1
"보문, 창신",서울,16
"동대문역사문화공원, 동대입구, 약수, 청구",서울,21
불암산,서울,11
가좌,서울,20
상수,서울,16
"굽은다리, 명일",서울,20
서빙고,서울,0
서울대입구,서울,15
봉천,서울,11
서울역,서울,18
버티고개,서울,3
방학,서울,16
미아사거리,서울,20
성신여대입구,서울,15
사당,서울,7
둔촌동,서울,10
녹번,서울,15
남태령,서울,-1
낙성대,서울,12
까치산,서울,15
금호,서울,15
국회의사당,서울,14
광운대,서울,21
관악산,서울,18
고덕,서울,17
강동구청,서울,16
대흥,서울,13
"강동, 길동, 천호",서울,9
"개화, 개화산, 방화",서울,23
"서대문, 충정로",서울,7
"건대입구, 어린이대공원, 자양",서울,21
"길음, 정릉",서울,10
"4.19민주묘지, 가오리, 미아, 북한산보국문, 북한산우이, 삼양, 삼양사거리, 솔밭공원, 솔샘, 수유, 화계",서울,5
"발산, 양천향교, 우장산, 화곡",서울,1
"월계, 중계, 하계",서울,9
"당산, 선유도",서울,19
"신목동, 염창",서울,20
"가양, 등촌, 증미",서울,9
"교대, 남부터미널, 서초",서울,20
신설동,서울,9
옥수,서울,-1
여의나루,서울,-1
"군자, 아차산",서울,8
"한성대입구, 혜화",서울,1
"새절, 응암, 증산",서울,6
"구산, 독바위, 불광, 역촌, 연신내",서울,13
"마곡, 마곡나루",서울,23
"공항시장, 김포공항, 송정, 신방화",서울,22
"압구정, 압구정로데오",서울,1
"아현, 애오개",서울,14
"녹천, 창동",서울,10
이촌,서울,-1
효창공원앞,서울,11
홍대입구,서울,13
한남,서울,13
"금천구청, 독산",서울,20
"강변, 광나루, 구의",서울,1
청량리,서울,8
"도봉, 도봉산, 수락산",서울,4
청계산입구,서울,1
응봉,서울,3
중화,서울,4
"신내, 양원",서울,19
"독립문, 무악재, 홍제",서울,10
"개봉, 구일",서울,10
"오류동, 천왕",서울,-1
중곡,서울,15
장한평,서울,11
일원,서울,-1
"노원, 마들, 상계",서울,11
중앙보훈병원,서울,10
"신이문, 외대앞, 회기",서울,11
양천구청,서울,4
양재시민의숲,서울,6
"언주, 역삼, 학동",서울,23
"거여, 마천",서울,8
"망우, 면목, 상봉, 중랑",서울,10
"사가정, 용마산",서울,15
"공덕, 마포",서울,22
"논현, 신사",서울,14
"강남, 신논현",서울,1
"삼전, 석촌고분, 잠실새내, 종합운동장",서울,-1
"녹사평, 이태원, 한강진",서울,16
"용두, 제기동",서울,10
"신용산, 용산",서울,13
"목동, 신정, 신정네거리, 오목교",서울,19
"망원, 합정",서울,18
"잠실, 잠실나루",서울,22
"가락시장, 개롱, 경찰병원, 문정, 방이, 복정, 오금, 장지",서울,-1
"둔촌오륜, 올림픽공원",서울,9
"석촌, 송파",서울,16
"몽촌토성, 송파나루, 한성백제",서울,-1
"남영, 삼각지, 숙대입구",서울,13
"고속터미널, 반포, 사평, 신반포, 잠원",서울,-1
"구반포, 동작",서울,0
"뚝섬, 서울숲, 성수",서울,6
양재,서울,21
암사역사공원,서울,-1
암사,서울,19
안국,서울,18
쌍문,서울,15
"돌곶이, 상월곡, 월곡",서울,4
"노들, 흑석",서울,-1
"구로, 도림천, 신도림",서울,19
"개포동, 구룡, 대모산입구, 대청, 대치, 도곡, 매봉, 학여울, 한티",서울,1
"노량진, 상도, 숭실대입구, 장승배기",서울,16
"공릉, 먹골, 봉화산, 석계, 태릉입구, 화랑대",서울,-1
"구로디지털단지, 대림",서울,16
"가산디지털단지, 남구로",서울,16
"마포구청, 월드컵경기장",서울,16
"디지털미디어시티, 수색",서울,20
"남성, 총신대입구",서울,19
"내방, 방배",서울,20
"강남구청, 선릉, 선정릉",서울,21
"봉은사, 삼성, 삼성중앙, 청담",서울,-1
"강일, 상일동",서울,-1
신풍,서울,19
"개운포, 남창, 덕하, 망양, 태화강",울산,11
산곡,인천,11
송도,인천,3
아라,인천,11
"남동구청, 만수",인천,-1
"간석, 모래내시장, 문학경기장, 석바위시장, 석천사거리, 선학, 예술회관, 인천시청, 인천터미널",인천,19
"공항화물청사, 영종, 운서, 인천공항1터미널, 인천공항2터미널",인천,0
"검바위, 검암, 서구청, 아시아드경기장",인천,3
"검단호수공원, 신검단중앙",인천,6
"검단사거리, 독정, 마전, 완정",인천,4
"검단오류, 왕길",인천,4
"국제업무지구, 센트럴파크, 송도달빛축제공원, 인천대입구, 지식정보단지, 캠퍼스타운, 테크노파크",인천,1
"운연, 인천대공원",인천,0
"경인교대입구, 계산, 박촌, 임학, 작전",인천,19
"계양, 귤현",인천,0
"시민공원, 주안, 주안국가산단",인천,8
"가정, 가정중앙시장",인천,4
"동인천, 신포, 인천",인천,11
"가재울, 인천가좌",인천,4
"서부여성회관, 석남",인천,4
"남동인더스파크, 신연수, 연수, 원인재",인천,3
"동막, 동춘",인천,18
인하대,인천,12
"간석오거리, 동암",인천,10
"도화, 제물포",인천,23
"동수, 부평, 부평시장",인천,17
"백운, 부평삼거리",인천,9
"도원, 숭의",인천,2
청라국제도시,인천,0
"두정, 배방, 봉명, 성환, 신창, 쌍용, 아산, 온양온천, 직산, 천안, 탕정",충남,0
